,sector,review_count,sentiment_unsafe,sentiment_crime,sentiment_positive,sentiment_sum,area,crime_count
116,HA97,274,-0.0002060212683611044,-0.0049739618936363765,-0.034631475894888804,-0.03981145905688629,1240216.9195298306,4227.0
117,HA98,525,0.0011115068693649782,-0.0036022739067248025,-0.04622798612334842,-0.0487187531607082,1968989.9880804128,5525.0
118,HA99,6,-0.007936507936507938,-0.005532735872541698,-0.01833699401766097,-0.0318062378267106,2308146.948343838,3644.0
119,IG11,66,0.0010001289676663146,-0.003039601542782246,-0.04083597420844667,-0.04287544678356259,1439219.4533684398,7080.0
120,IG117,486,0.00047045073542107454,-0.003471627437627122,-0.03832651915452712,-0.04132769585673319,1594313.2573859158,5356.0
121,IG118,36,-0.0004311262928647911,-0.005422008051083681,-0.023034054665473702,-0.02888718900942218,1359343.2955784316,9683.0
122,IG13,180,-0.0012394723950384407,-0.005106467402937259,-0.04008301158831806,-0.046428951386293764,2216263.5232582274,7229.0
123,IG14,288,-0.0014714668246836899,-0.005092824667011041,-0.029528331837070272,-0.03609262332876499,1769187.4842985657,7685.0
124,IG26,135,-0.00037333019543329737,-0.0026909451586676347,-0.043020594449685055,-0.04608486980378597,1581425.1662453753,4408.0
125,IG27,140,-0.0007228166739657649,-0.0033364341327833725,-0.0431106804017531,-0.04716993120850223,3358619.2906897906,4811.0
126,IG45,200,-0.00024334112817678207,-0.0040789659190920355,-0.03905651530099355,-0.04337882234826239,1632433.3029965572,3177.0
127,IG80,50,-0.0006463915973261769,-0.007519438865994781,-0.04389905580387952,-0.05206488626720049,2588167.675058918,2116.0
128,IG88,50,-0.00040590080333155395,-0.0041511856414875765,-0.044283182676717825,-0.04884026912153695,3231344.010900431,2005.0
129,IG89,142,0.0010048004046725625,-0.004756812486311069,-0.029305140408412998,-0.0330571524900515,2328833.8326822356,2277.0
130,KT12,419,0.0016560302845122523,-0.004018326259465181,-0.04115621419305033,-0.043518510168003254,1006202.0560759982,2318.0
131,KT14,181,0.0009213958054755971,-0.004250675851839129,-0.05112669963993019,-0.05445597968629371,2191904.935688788,1920.0
132,KT26,122,0.0010352767804975174,-0.0030206197040256203,-0.0359014860656388,-0.03788682898916692,838597.3098863902,2068.0
133,KT27,267,-7.649230180931034e-05,-0.0043233074363757664,-0.040108329153375984,-0.044508128891561055,3472439.647722144,1897.0
134,KT64,150,4.399328093909055e-06,-0.003860908879803149,-0.04326272733148186,-0.04711923688319109,781928.9722932625,2728.0
135,KT65,139,-0.0005951948814553042,-0.006985832036337543,-0.039810574889454116,-0.047391601807246955,2128062.871526106,880.0
136,KT67,142,0.001329390499790203,-0.0029071622594783447,-0.03784606163104708,-0.039423833390735234,1550675.5466061146,2832.0
137,N10,257,0.001865364001273481,-0.005088584115648389,-0.05276015808156242,-0.05598337819593734,801891.7166987791,8075.0
138,N103,212,-0.0002088635957198249,-0.004810781786261952,-0.03547559199379579,-0.04049523737577754,1621571.039567447,3439.0
139,N11,27,-0.002772266313932981,-0.027132852595948807,-0.042658401292793795,-0.07256352020267559,617677.9006788435,3277.0
140,N120,133,-0.00011011714203154216,-0.004682884941361692,-0.034197886550984734,-0.03899088863437798,1530555.3748496554,3376.0
141,N128,189,2.0884108440453986e-05,-0.002798804017058828,-0.05317734123742631,-0.05595526114604474,862084.7276601807,3378.0
142,N13,50,0.0009068905854028689,-0.0076622580296053615,-0.02909595495585114,-0.03585132240005364,541210.57211445,2693.0
143,N16,130,0.0012884828450058646,-0.0048298958526952936,-0.04659312098465431,-0.050134533992343744,435831.19100220734,8149.0
144,N168,10,-0.0008403361344537815,-0.007549019607843138,-0.026817807149875455,-0.03520716289217238,619871.5145364477,7626.0
145,N179,34,0.0007223285719858742,-0.001552830027563249,-0.04565862479208498,-0.046489126247662355,1955949.189686118,5634.0
146,N183,150,0.0008551328741924321,-0.003078347399827583,-0.04465660360211249,-0.04687981812774762,1588087.1522505789,1415.0
147,N19,259,0.00038553305612226674,-0.005096283471537968,-0.04823192223228943,-0.0529426726477051,449268.6989860633,7156.0
148,N195,150,0.0015440416100434187,-0.004000714947038061,-0.04764044242315259,-0.05009711576014723,865617.3368668852,7062.0
149,N1C4,130,0.0008402710954251148,-0.0030843519433984843,-0.05298498826929224,-0.05522906911726559,576993.2583520374,5392.0
150,N33,140,-0.000368266444420493,-0.005523476113208014,-0.03843383753259737,-0.04432558009022585,1312297.8901150543,1387.0
151,N41,101,-0.0015249883206769118,-0.0041794455799813775,-0.02129169104526725,-0.02699612494592553,1237488.8622385364,6727.0
152,N42,442,0.00031223946705271396,-0.005420078710650066,-0.033030797980888836,-0.03813863722448616,1502803.964913896,7911.0
153,N65,12,0.0,-0.002915153144510943,-0.04895000975186259,-0.05186516289637353,1409038.6789023324,3174.0
